MSSubClass-20,MSZoning-RL,LotFrontage-75,LotShape-Reg,LotConfig-Inside,Neighborhood-Somerst,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-8,OverallCond-5,YearBuilt-2004,YearRemodAdd-2005,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-186,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-1369,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-317,TotalBsmtSF-1686,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1694,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2004,GarageFinish-RFn,GarageCars-2,GarageArea-636,GarageQual-TA,WoodDeckSF-255,OpenPorchSF-57,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-307000,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-85,LotShape-IR1,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-9,OverallCond-5,YearBuilt-2005,YearRemodAdd-2006,RoofStyle-Hip,Exterior1st-WdShing,Exterior2nd-Wd Shng,MasVnrType-Stone,MasVnrArea-286,ExterQual-Ex,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-998,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-177,TotalBsmtSF-1175,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2324,BsmtFullBath-1,BsmtHalfBath-0,FullBath-3,HalfBath-0,BedroomAbvGr-4,KitchenQual-Ex,TotRmsAbvGrd-11,Functional-Typ,Fireplaces-2,FireplaceQu-Gd,GarageType-BuiltIn,GarageYrBlt-2005,GarageFinish-Fin,GarageCars-3,GarageArea-736,GarageQual-TA,WoodDeckSF-147,OpenPorchSF-21,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2006,SaleType-New,SaleCondition-Partial,SalePrice-345000,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-101,LotShape-IR1,LotConfig-Corner,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-5,YearBuilt-2005,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-380,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1158,TotalBsmtSF-1158,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2376,BsmtFullBath-0,BsmtHalfBath-0,FullBath-3,HalfBath-1,BedroomAbvGr-4,KitchenQual-Gd,TotRmsAbvGrd-9,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-BuiltIn,GarageYrBlt-2005,GarageFinish-RFn,GarageCars-3,GarageArea-853,GarageQual-TA,WoodDeckSF-240,OpenPorchSF-154,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-11,YrSold-2006,SaleType-New,SaleCondition-Partial,SalePrice-325300,gt_300000
MSSubClass-20,MSZoning-RL,LotFrontage-98,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-8,OverallCond-5,YearBuilt-2007,YearRemodAdd-2008,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-200,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-1218,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-486,TotalBsmtSF-1704,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1704,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2008,GarageFinish-RFn,GarageCars-3,GarageArea-772,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-50,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-306000,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-108,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-5,YearBuilt-2004,YearRemodAdd-2005,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-132,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1117,TotalBsmtSF-1117,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2452,BsmtFullBath-0,BsmtHalfBath-0,FullBath-3,HalfBath-1,BedroomAbvGr-4,KitchenQual-Gd,TotRmsAbvGrd-9,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-BuiltIn,GarageYrBlt-2004,GarageFinish-Fin,GarageCars-3,GarageArea-691,GarageQual-TA,WoodDeckSF-113,OpenPorchSF-32,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-9,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-309000,gt_300000
MSSubClass-120,MSZoning-RL,LotFrontage-61,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-TwnhsE,HouseStyle-1Story,OverallQual-9,OverallCond-5,YearBuilt-2005,YearRemodAdd-2005,RoofStyle-Hip,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-BrkFace,MasVnrArea-412,ExterQual-Ex,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-456,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1296,TotalBsmtSF-1752,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1752,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-2,KitchenQual-Ex,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2005,GarageFinish-RFn,GarageCars-2,GarageArea-576,GarageQual-TA,WoodDeckSF-196,OpenPorchSF-82,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-2,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-319900,gt_300000
MSSubClass-20,MSZoning-RL,LotFrontage-68,LotShape-IR1,LotConfig-Inside,Neighborhood-Veenker,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-9,OverallCond-5,YearBuilt-1981,YearRemodAdd-1987,RoofStyle-Gable,Exterior1st-WdShing,Exterior2nd-Wd Shng,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-CBlock,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Gd,BsmtFinType1-GLQ,BsmtFinSF1-1810,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-32,TotalBsmtSF-1842,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1842,BsmtFullBath-2,BsmtHalfBath-0,FullBath-0,HalfBath-1,BedroomAbvGr-0,KitchenQual-Gd,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-1981,GarageFinish-Fin,GarageCars-3,GarageArea-894,GarageQual-TA,WoodDeckSF-857,OpenPorchSF-72,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-11,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-385000,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-76,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-5,YearBuilt-2004,YearRemodAdd-2005,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-344,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1143,TotalBsmtSF-1143,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2473,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-4,KitchenQual-Gd,TotRmsAbvGrd-9,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-BuiltIn,GarageYrBlt-2004,GarageFinish-RFn,GarageCars-3,GarageArea-852,GarageQual-TA,WoodDeckSF-192,OpenPorchSF-151,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-10,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-317000,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-77,LotShape-Reg,LotConfig-Inside,Neighborhood-CollgCr,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-7,OverallCond-5,YearBuilt-2007,YearRemodAdd-2007,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-220,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-984,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-280,TotalBsmtSF-1264,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2696,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-4,KitchenQual-Ex,TotRmsAbvGrd-10,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-BuiltIn,GarageYrBlt-2007,GarageFinish-Fin,GarageCars-3,GarageArea-792,GarageQual-TA,WoodDeckSF-120,OpenPorchSF-184,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-10,YrSold-2007,SaleType-New,SaleCondition-Partial,SalePrice-383970,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-90,LotShape-Reg,LotConfig-Corner,Neighborhood-SawyerW,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-7,OverallCond-5,YearBuilt-1990,YearRemodAdd-1990,RoofStyle-Hip,Exterior1st-Plywood,Exterior2nd-Plywood,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Mn,BsmtFinType1-GLQ,BsmtFinSF1-1470,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-203,TotalBsmtSF-1673,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-3222,BsmtFullBath-1,BsmtHalfBath-0,FullBath-3,HalfBath-0,BedroomAbvGr-5,KitchenQual-Gd,TotRmsAbvGrd-11,Functional-Typ,Fireplaces-2,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1990,GarageFinish-Unf,GarageCars-3,GarageArea-594,GarageQual-TA,WoodDeckSF-367,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-320000,gt_300000
MSSubClass-20,MSZoning-RL,LotFrontage-107,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-8,OverallCond-5,YearBuilt-2007,YearRemodAdd-2008,RoofStyle-Hip,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-436,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Gd,BsmtFinType1-GLQ,BsmtFinSF1-1400,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-310,TotalBsmtSF-1710,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1710,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-2,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2007,GarageFinish-RFn,GarageCars-3,GarageArea-866,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-102,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-1,YrSold-2008,SaleType-New,SaleCondition-Partial,SalePrice-372402,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-134,LotShape-IR1,LotConfig-Corner,Neighborhood-Gilbert,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-7,OverallCond-5,YearBuilt-2005,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-456,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Mn,BsmtFinType1-GLQ,BsmtFinSF1-57,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1335,TotalBsmtSF-1392,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2462,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-4,KitchenQual-Gd,TotRmsAbvGrd-9,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-2,GarageArea-576,GarageQual-TA,WoodDeckSF-239,OpenPorchSF-132,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-3,YrSold-2006,SaleType-New,SaleCondition-Partial,SalePrice-320000,gt_300000
MSSubClass-60,MSZoning-RL,LotFrontage-86,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-5,YearBuilt-2007,YearRemodAdd-2007,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-300,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-1288,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-294,TotalBsmtSF-1582,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2161,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-Ex,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2007,GarageFinish-Fin,GarageCars-3,GarageArea-789,GarageQual-TA,WoodDeckSF-178,OpenPorchSF-120,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-11,YrSold-2007,SaleType-New,SaleCondition-Partial,SalePrice-325624,gt_300000
MSSubClass-70,MSZoning-RL,LotFrontage-70,LotShape-Reg,LotConfig-Inside,Neighborhood-Crawfor,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-8,YearBuilt-1932,YearRemodAdd-1994,RoofStyle-Hip,Exterior1st-BrkFace,Exterior2nd-BrkFace,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-Gd,BsmtExposure-No,BsmtFinType1-Rec,BsmtFinSF1-297,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-556,TotalBsmtSF-853,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-2727,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-10,Functional-Maj1,Fireplaces-2,FireplaceQu-TA,GarageType-Detchd,GarageYrBlt-1932,GarageFinish-Unf,GarageCars-2,GarageArea-440,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-74,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-12,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-315000,gt_300000
MSSubClass-20,MSZoning-RL,LotFrontage-79,LotShape-Reg,LotConfig-Inside,Neighborhood-Somerst,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2007,YearRemodAdd-2007,RoofStyle-Hip,Exterior1st-CemntBd,Exterior2nd-CmentBd,MasVnrType-Stone,MasVnrArea-205,ExterQual-Ex,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-1126,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-600,TotalBsmtSF-1726,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1726,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Ex,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2007,GarageFinish-Fin,GarageCars-3,GarageArea-786,GarageQual-TA,WoodDeckSF-171,OpenPorchSF-138,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-9,YrSold-2007,SaleType-New,SaleCondition-Partial,SalePrice-311872,gt_300000
MSSubClass-50,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-Corner,Neighborhood-Crawfor,Condition1-Norm,BldgType-1Fam,HouseStyle-1.5Fin,OverallQual-7,OverallCond-9,YearBuilt-1939,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-312,ExterQual-Gd,ExterCond-Gd,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-341,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-457,TotalBsmtSF-798,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1954,BsmtFullBath-0,BsmtHalfBath-1,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-2,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1939,GarageFinish-Unf,GarageCars-2,GarageArea-431,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-119,EnclosedPorch-150,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-311500,gt_300000
MSSubClass-20,MSZoning-RL,LotFrontage-103,LotShape-Reg,LotConfig-Inside,Neighborhood-NridgHt,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-10,OverallCond-5,YearBuilt-2003,YearRemodAdd-2003,RoofStyle-Hip,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-922,ExterQual-Ex,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Gd,BsmtFinType1-GLQ,BsmtFinSF1-56,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-2336,TotalBsmtSF-2392,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-2392,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Ex,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-1,FireplaceQu-Ex,GarageType-Attchd,GarageYrBlt-2003,GarageFinish-Fin,GarageCars-3,GarageArea-968,GarageQual-TA,WoodDeckSF-248,OpenPorchSF-105,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-386250,gt_300000
